	Tranche Horaire	1-01-18	23.30
D33692576	A33692576	4966.246634208372	462
A33692576	D33692576	4974.111634208369	463
D33692533	A33692533	4812.837684523724	380
A33692533	D33692533	5518.371012240314	489
D33692515	A33692515	5179.458247092278	784
A33692515	D33692515	5210.659247092275	596
D33692538	A33692538	2654.947517090949	260
A33692538	D33692538	2642.4455104754825	340
D33692534	A33692534	2414.6121207851425	272
A33692534	D33692534	2169.396154683768	247
D33692596	A33692596	3999.7336834834678	541
A33692596	D33692596	3894.628919199211	487
D33692576	D33692533	5041.314590080037	441
D33692533	D33692576	4376.038581834866	380
D33692576	A33692533	8751.827396337203	777
A33692533	D33692576	8920.18471580862	868
A33692576	D33692533	865.9572199838315	92
D33692533	A33692576	689.669922394893	92
A33692576	A33692533	4817.906736897226	407
A33692533	A33692576	4895.6620563686465	445
D33692576	D33692515	6963.170393916448	609
D33692515	D33692576	7107.294393916446	580
D33692576	A33692515	7423.733146824173	637
A33692515	D33692576	7541.771146824173	647
A33692576	D33692515	9114.145734476475	854
D33692515	A33692576	9363.202734476472	908
A33692576	A33692515	7309.895487384197	653
A33692515	A33692576	7668.662487384201	735
D33692576	D33692538	10005.284682643754	972
D33692538	D33692576	9614.780689259225	915
D33692576	A33692538	11967.401121480058	1049
A33692538	D33692576	12135.909121480066	1132
A33692576	D33692538	6807.088023203788	653
D33692538	A33692576	6120.590029819254	577
A33692576	A33692538	8737.831462040094	809
A33692538	A33692576	8619.377462040093	856
D33692576	D33692534	10005.284682643754	972
D33692534	D33692576	9614.780689259225	915
D33692576	A33692534	9050.207725174263	834
A33692534	D33692576	9103.211765688347	841
A33692576	D33692534	6807.088023203788	653
D33692534	A33692576	6120.590029819254	577
A33692576	A33692534	6216.955065734284	589
A33692534	A33692576	5805.808106248379	590
D33692576	D33692596	5294.441863845027	497
D33692596	D33692576	5596.941628129282	531
D33692576	A33692596	6244.772349002527	776
A33692596	D33692576	6198.873349002528	692
A33692576	D33692596	4953.777204405055	453
D33692596	A33692576	5286.4139686893095	498
A33692576	A33692596	2494.294689562555	289
A33692596	A33692576	2344.8526895625555	274
D33692533	D33692515	8815.948682102968	799
D33692515	D33692533	9438.270690348138	887
D33692533	A33692515	7011.698435010692	598
A33692515	D33692533	7968.012443255868	721
A33692533	D33692515	10659.561816076728	1098
D33692515	A33692533	10438.653496605304	982
A33692533	A33692515	7937.186568984448	831
A33692515	A33692533	7460.116249513028	724
D33692533	D33692538	6802.018970830285	626
D33692538	D33692533	6743.298985690921	621
D33692533	A33692538	8732.76240966659	782
A33692538	D33692533	9242.086417911763	900
A33692533	D33692538	2501.0681048040356	281
D33692538	A33692533	2035.859791948086	163
A33692533	A33692538	4294.355543640343	422
A33692538	A33692533	4333.930224168923	385
D33692533	D33692534	6802.018970830285	626
D33692534	D33692533	6743.298985690921	621
D33692533	A33692534	6211.886013360781	561
A33692534	D33692533	6428.517062120045	634
A33692533	D33692534	2501.0681048040356	281
D33692534	A33692533	2035.859791948086	163
A33692533	A33692534	3472.0361473345356	366
A33692534	A33692533	2910.9508683772106	227
D33692533	D33692596	4655.58015203155	398
D33692596	D33692533	5585.763924560975	483
D33692533	A33692596	2489.225637189052	262
A33692596	D33692533	2967.5616454342216	318
A33692533	D33692596	6014.208286005304	613
D33692596	A33692533	5685.783730818138	527
A33692533	A33692596	3572.64347182371	362
A33692596	A33692533	3033.817152352292	256
D33692515	D33692538	11235.997782911862	1163
D33692538	D33692515	10606.960789527335	1062
D33692515	A33692538	12809.823221748173	1087
A33692538	D33692515	12651.747221748172	1291
A33692515	D33692538	6953.181535819586	707
D33692538	A33692515	7125.625542435054	745
A33692515	A33692538	8500.377974655888	796
A33692538	A33692515	9094.3869746559	945
D33692515	D33692534	11235.997782911862	1163
D33692534	D33692515	10606.960789527335	1062
D33692515	A33692534	9218.565825442363	798
A33692534	D33692515	9317.895865956456	940
A33692515	D33692534	6953.181535819586	707
D33692534	A33692515	7125.625542435054	745
A33692515	A33692534	4909.120578350087	506
A33692534	A33692515	5760.72761886418	585
D33692515	D33692596	4798.211964113129	462
D33692596	D33692515	4813.5287283973885	521
D33692515	A33692596	8347.040449270633	913
A33692596	D33692515	8436.061449270634	982
A33692515	D33692596	2560.3197170208546	251
D33692596	A33692515	2392.6734813051107	205
A33692515	A33692596	6223.346202178359	765
A33692596	A33692515	6250.747202178353	687
D33692538	D33692534	0.0	0
D33692534	D33692538	0.0	0
D33692538	A33692534	2414.6121207851425	272
A33692534	D33692538	2169.396154683768	247
A33692538	D33692534	2642.4455104754825	340
D33692534	A33692538	2654.947517090949	260
A33692538	A33692534	4514.089553005982	439
A33692534	A33692538	4026.752593520074	461
D33692538	D33692596	5961.607259455909	577
D33692596	D33692538	6483.1280171247	708
D33692538	A33692596	4377.9797446134135	486
A33692596	D33692538	5022.998438658851	502
A33692538	D33692596	8078.526691676748	802
D33692596	A33692538	8064.3264559610025	740
A33692538	A33692596	6876.767176834253	765
A33692596	A33692538	6953.7418774951575	658
D33692534	D33692596	5961.607259455909	577
D33692596	D33692534	6483.1280171247	708
D33692534	A33692596	4377.9797446134135	486
A33692596	D33692534	5022.998438658851	502
A33692534	D33692596	4744.675335885035	451
D33692596	A33692534	4473.069059655199	450
A33692534	A33692596	4063.1978210425386	499
A33692596	A33692534	4365.125481189348	497
tempsCalculEnSec_Matrice_Cout	592
